wyraz,r,f,r*f
the,1,6186,6186
of,2,2976,5952
and,3,2412,7236
to,4,2351,9404
i,5,2076,10380
a,6,2057,12342
in,7,1746,12222
that,8,1137,9096
it,9,1130,10170
was,10,937,9370
this,11,926,10186
with,12,895,10740
on,13,811,10543
by,14,659,9226
for,15,617,9255
my,16,612,9792
but,17,598,10166
we,18,591,10638
his,19,557,10583
from,20,556,11120
you,21,552,11592
as,22,540,11880
had,23,526,12098
at,24,522,12528
he,25,519,12975
me,26,508,13208
captain,27,507,13689
were,28,470,13160
its,29,465,13485
our,30,405,12150
an,31,402,12462
these,32,397,12704
nautilus,33,368,12144
no,34,345,11730
be,35,342,11970
conseil,36,336,12096
they,37,336,12432
have,38,330,12540
nemo,39,321,12519
their,40,319,12760
then,41,318,13038
ned,42,312,13104
which,43,311,13373
one,44,305,13420
some,45,302,13590
sea,46,298,13708
is,47,293,13771
so,48,284,13632
all,49,281,13769
up,50,281,14050
would,51,256,13056
us,52,255,13260
land,53,252,13356
if,54,252,13608
or,55,247,13585
could,56,222,12432
what,57,220,12540
replied,58,218,12644
are,59,217,12803
not,60,217,13020
into,61,215,13115
there,62,209,12958
said,63,207,13041
them,64,194,12416
out,65,188,12220
only,66,187,12342
ll,67,184,12328
when,68,184,12512
two,69,183,12627
been,70,181,12670
like,71,180,12780
just,72,180,12960
him,73,179,13067
more,74,178,13172
professor,75,174,13050
water,76,167,12692
whose,77,162,12474
your,78,161,12558
can,79,158,12482
over,80,157,12560
those,81,156,12636
long,82,148,12136
about,83,144,11952
even,84,144,12096
than,85,142,12070
re,86,142,12212
went,87,141,12267
under,88,140,12320
man,89,138,12282
other,90,136,12240
canadian,91,136,12376
who,92,135,12420
after,93,134,12462
such,94,130,12220
ocean,95,129,12255
off,96,128,12288
see,97,126,12222
still,98,125,12250
how,99,124,12276
will,100,123,12300
surface,101,122,12322
where,102,118,12036
back,103,117,12051
day,104,113,11752
without,105,112,11760
ve,106,110,11660
meters,107,110,11770
didn,108,109,11772
now,109,109,11881
waves,110,108,11880
has,111,106,11766
fish,112,105,11760
island,113,104,11752
eyes,114,104,11856
down,115,104,11960
sir,116,102,11832
because,117,102,11934
well,118,101,11918
few,119,100,11900
made,120,97,11640
little,121,96,11616
before,122,96,11712
every,123,95,11685
through,124,93,11532
waters,125,93,11625
three,126,93,11718
commander,127,93,11811
don,128,92,11776
time,129,91,11739
between,130,89,11570
here,131,88,11528
master,132,88,11616
right,133,88,11704
very,134,88,11792
ship,135,87,11745
left,136,87,11832
do,137,86,11782
animal,138,86,11868
underwater,139,85,11815
nothing,140,85,11900
seemed,141,85,11985
feet,142,84,11928
good,143,83,11869
air,144,83,11952
while,145,82,11890
coral,146,82,11972
any,147,82,12054
make,148,82,12136
seas,149,81,12069
did,150,81,12150
first,151,80,12080
new,152,80,12160
must,153,79,12087
most,154,77,11858
asked,155,77,11935
soon,156,76,11856
degrees,157,76,11932
saw,158,76,12008
miles,159,75,11925
light,160,75,12000
aronnax,161,74,11914
since,162,74,11988
speed,163,74,12062
way,164,73,11972
couldn,165,73,12045
go,166,73,12118
yes,167,73,12191
words,168,72,12096
great,169,72,12168
took,170,72,12240
put,171,72,12312
never,172,71,12212
let,173,67,11591
told,174,67,11658
lounge,175,66,11550
islands,176,64,11264
red,177,63,11151
come,178,62,11036
know,179,61,10919
again,180,61,10980
near,181,61,11041
same,182,60,10920
take,183,60,10980
open,184,60,11040
world,185,59,10915
half,186,59,10974
around,187,58,10846
yet,188,58,10904
electric,189,58,10962
much,190,57,10830
frigate,191,57,10887
along,192,57,10944
clock,193,56,10808
hadn,194,56,10864
genus,195,56,10920
many,196,55,10780
last,197,55,10835
